               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  70,            0.023117,            0.012992,                   0,             0.77072,             0.79803,             0.82189,             0.49668,            0.026578,            0.010587,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.021902,            0.012436,                   0,             0.79314,             0.81215,              0.8329,              0.4883,            0.026058,            0.010803,                   0,             0.00307,             0.00307,             0.00307
                  72,             0.02312,            0.013484,                   0,             0.84767,             0.68966,             0.82343,             0.49232,            0.026565,            0.010836,                   0,            0.002971,            0.002971,            0.002971
                  73,             0.02209,            0.013107,                   0,              0.7984,             0.80296,             0.82235,             0.49429,            0.025657,            0.010285,                   0,            0.002872,            0.002872,            0.002872
                  74,              0.0232,            0.013076,                   0,             0.84625,             0.75862,             0.81981,             0.49376,            0.025594,            0.010777,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.022374,            0.013158,                   0,             0.82186,             0.76847,              0.8257,             0.49986,            0.025758,            0.010767,                   0,            0.002674,            0.002674,            0.002674
                  76,             0.02177,             0.01254,                   0,             0.83816,             0.76539,             0.83043,             0.51033,            0.025886,            0.010696,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.021656,             0.01275,                   0,             0.77974,             0.76847,             0.82053,             0.51201,            0.025639,            0.010852,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.021789,            0.012841,                   0,             0.75774,             0.82266,             0.83417,             0.52371,            0.025371,            0.010394,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.022023,            0.013079,                   0,             0.73554,             0.78095,             0.82567,             0.49949,            0.026009,            0.010558,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.021559,             0.01241,                   0,             0.80843,             0.76847,             0.86191,             0.52654,            0.025501,            0.010222,                   0,            0.002179,            0.002179,            0.002179
                  81,             0.02132,            0.012408,                   0,             0.78616,             0.77833,             0.84055,             0.51807,            0.025989,            0.010702,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.021617,            0.013093,                   0,             0.76899,             0.78325,             0.82613,             0.50819,              0.0257,             0.01073,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.021911,            0.012748,                   0,             0.80913,             0.75178,              0.8414,             0.51263,            0.025749,            0.010466,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.021441,            0.012683,                   0,             0.75543,             0.79121,             0.83384,             0.50914,            0.025526,            0.010777,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.021374,            0.012823,                   0,             0.76008,             0.80296,             0.83935,              0.5143,            0.025457,            0.010543,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.020641,            0.012035,                   0,             0.81141,             0.75862,             0.84735,             0.52021,            0.025766,             0.01087,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.019691,            0.012335,                   0,             0.77238,             0.82759,             0.84979,             0.51162,            0.025787,            0.010767,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.019677,            0.012132,                   0,             0.77563,             0.80296,             0.84116,             0.51668,            0.025805,            0.010621,                   0,            0.001387,            0.001387,            0.001387
                  89,             0.02165,            0.012347,                   0,             0.76597,             0.80615,             0.83205,             0.51011,            0.025863,              0.0107,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.020167,            0.012576,                   0,             0.78832,              0.8072,             0.83523,             0.50651,            0.025926,            0.010698,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.020329,            0.011939,                   0,             0.77644,             0.82124,             0.84817,             0.52062,            0.025634,             0.01056,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.020861,            0.012312,                   0,              0.7823,              0.7931,             0.83302,             0.51589,            0.025735,            0.010566,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.020966,            0.012116,                   0,             0.82395,             0.76082,             0.84111,             0.51497,            0.025523,            0.010692,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.020053,            0.012056,                   0,             0.82047,             0.78325,             0.84115,             0.51971,            0.025167,            0.010634,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.020013,            0.011594,                   0,             0.78763,              0.7856,             0.84388,             0.52199,            0.025563,             0.01079,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.019221,            0.011435,                   0,             0.77645,             0.78818,               0.838,             0.52264,            0.025304,            0.010843,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.020802,            0.012214,                   0,             0.81482,             0.75862,             0.83962,             0.51895,            0.025438,            0.010707,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.019877,            0.012003,                   0,             0.79678,             0.79803,             0.84812,             0.52142,            0.025411,            0.010733,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.019406,            0.011685,                   0,             0.79073,             0.78175,             0.85091,             0.51808,            0.025425,            0.010672,                   0,            0.000298,            0.000298,            0.000298
